stud_id,contact,tepsb_sex,cp09v02,cp09v05,cp09v06,cp09v07,cp09v08_u,cp09v08_ud,cp09v09,cp09v10,cp09v11_1,cp09v11_2,cp09v11_3,cp09v11_4,cp09v11_5,cp09v11_6,cp09v11_7,cp09v11_8,cp09v11_9,cp09v11_10,cp09v12,cp09v13,cp09v14,cp09v15,cp09v16,cp09v17,cp09v18,cp09v19,cp09v20,cp09v20_k,cp09v21,cp09v22,cp09v23,cp09v24,cp09v25,cp09v26,cp09v27
"16183","正式成功完訪","男","男","學生本人","技術學院或科技大學","沒有，還沒畢業（指還在唸書）","公立科技大學","工程、製造及營造領域","日間部","是","有","有","無","無","無","無","無","無","無","無","沒有（含實習、兼職、義務役、一般替代役等）","沒有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",178,72
"05433","正式成功完訪","女","女","學生本人","技術學院或科技大學","沒有，還沒畢業（指還在唸書）","公立科技大學","社會科學、商業及法律領域","日間部","是","無","無","無","無","無","無","無","有","無","無","沒有（含實習、兼職、義務役、一般替代役等）","沒有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",160,49
"16661","正式成功完訪","女","女","媽媽（含繼母、養母）","大學","沒有，還沒畢業（指還在唸書）","私立一般大學","社會科學、商業及法律領域","日間部","不是","無","無","無","無","無","無","無","有","無","無","沒有（含實習、兼職、義務役、一般替代役等）","沒有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",166,"不清楚、不知道"
"12413","正式成功完訪","男","男","學生本人","技術學院或科技大學","沒有，還沒畢業（指還在唸書）","私立科技大學","科學領域","日間部","是","無","無","無","無","無","無","無","有","無","無","沒有（含實習、兼職、義務役、一般替代役等）","沒有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",172,57
"16380","正式成功接觸未完訪","女","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","跳答","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值"
"11840","正式成功接觸未完訪","女","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","跳答","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值"
"13996","正式成功完訪","女","女","媽媽（含繼母、養母）","大學","沒有，還沒畢業（指還在唸書）","國外大學","人文及藝術領域","日間部","不是","無","無","無","無","無","無","有","無","無","無","沒有（含實習、兼職、義務役、一般替代役等）","沒有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",166,60
"18772","正式成功完訪","男","男","學生本人","高職","有，已畢業","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","沒有（含實習、兼職、義務役、一般替代役等）","有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",173,65
"11321","正式成功完訪","女","女","學生本人","技術學院或科技大學","沒有，還沒畢業（指還在唸書）","公立科技大學","社會科學、商業及法律領域","日間部","是","無","無","無","無","無","無","無","有","無","無","沒有（含實習、兼職、義務役、一般替代役等）","沒有","沒有（跳答第26題）","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答","跳答",160,52
"17671","正式成功接觸未完訪","男","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","跳答","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值","遺漏值"
