stud_id,contact,gender,edua,grad,type_shcool,major,cp09v09,cp09v10,cp09v11_1,cp09v11_2,double_major,minor,cp09v11_5,cp09v11_6,cp09v11_7,cp09v11_8,cp09v11_9,cp09v11_10,now_job,cp09v13,cp09v14,cp09v15,work_place,cp09v17,job_field,job,cp09v20,cp09v20_k,cp09v21,work_hour,salary,cp09v24,cp09v25,edu_relabel,year_survey,salary_decode
16183,6,1,5,2,3,5,1,1,1,1,0,0,0,0,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
05433,6,2,5,2,3,3,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
16661,6,2,6,2,6,3,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
12413,6,1,5,2,8,4,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
16380,5,2,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,96,2009,96.0
11840,5,2,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,96,2009,96.0
13996,6,2,6,2,11,2,1,2,0,0,0,0,0,0,1,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
18772,6,1,2,1,99,99,99,99,9,9,9,9,9,9,9,9,9,9,3,1,2,99,99,99,999,99,99,999,99,999,99,99,99,1,2009,99.0
11321,6,2,5,2,3,3,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
17671,5,1,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,96,2009,96.0
16332,6,1,3,1,99,99,99,99,9,9,9,9,9,9,9,9,9,9,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,2,2009,99.0
02438,6,2,6,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
13291,6,2,6,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
00061,6,1,6,2,6,5,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
19856,6,2,2,1,99,99,99,99,9,9,9,9,9,9,9,9,9,9,3,1,1,3,2,4,51,51,2,999,5,35,2,1,99,1,2009,1.0
08323,5,2,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,96,2009,96.0
14428,6,1,6,2,6,5,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
00202,6,1,6,2,1,3,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
14975,6,2,2,1,99,99,99,99,9,9,9,9,9,9,9,9,9,9,3,1,1,3,2,97,50,51,2,999,5,50,5,2,4,1,2009,3.0
00801,6,1,6,2,1,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,3,2009,99.0
