stud_id,contact,tepsb_sex,ym,svyunit,cp13v01,cp13v05,cp13v28,cp13v29,cp13v30_g,cp13v30_gd,cp13v31,cp13v32v33_u,cp13v32v33_ud,cp13v34,cp13v35,cp13v36,cp13v36_1,cp13v36_2,cp13v37,cp13v37_1,cp13v37_2,cp13v38,cp13v38_1,cp13v38_2,cp13v39,cp13v39_1,cp13v39_2,cp13v40,cp13v41,cp13v42,cp13v43,cp13v44,cp13v44_1,cp13v45,cp13v46,cp13v47,cp13v48,cp13v49,cp13v49_k,cp13v50,cp13v51,cp13v52,cp13v53,cp13v54,cp13v55,cp13v56,cp13v57,cp13v58,cp13v59,cp13v60,cp13v60_k,cp13v61,cp13v62,cp13log1,cp13log2
16183,2,1,201310,1,1,3,3,7,1,5,2,3,5,1,1,2,2,2,1,99,99,1,99,99,1,99,99,99,3,1,2,99,99,99,999,99,99,99,999,99,999,99,99,99,99,99,999,99,99,99,999,999,99,0,0
05433,2,2,201310,1,1,9,3,5,99,99,1,3,3,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,69,3,41,2,999,9,40,6,1,99,99,99,999,99,99,99,999,999,99,0,0
16661,2,2,201310,1,1,2,3,6,99,99,1,6,3,1,2,2,2,1,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,64,9,34,2,999,11,40,6,2,9,1,2,62,9,42,2,999,60,8,0,0
12413,0,1,201310,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,96,96,996,96,996,96,96,96,96,96,996,96,96,96,996,996,96,0,0
16380,0,2,201310,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,96,96,996,96,996,96,96,96,96,96,996,96,96,96,996,996,96,0,0
11840,2,2,201310,1,1,1,3,2,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,3,99,99,81,2,42,2,999,8,18,2,2,97,3,99,51,3,51,2,999,997,4,0,0
13996,2,2,201310,1,3,24,3,6,99,99,2,11,2,1,2,1,99,99,1,99,99,1,99,99,1,99,99,97,3,2,2,99,99,99,999,99,99,99,999,99,999,99,99,99,99,99,999,99,99,99,999,999,99,0,0
18772,2,1,201310,1,6,15,3,2,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,1,2,99,99,99,999,99,99,99,999,99,999,99,99,99,99,99,999,99,99,99,999,999,99,0,0
11321,2,2,201310,1,1,5,3,5,99,99,1,3,3,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,1,1,99,2,27,9,31,2,999,11,45,9,2,9,1,2,27,8,41,2,999,45,7,0,0
17671,2,1,201310,1,3,4,3,6,99,99,1,6,3,1,2,2,1,99,1,99,99,97,99,99,97,99,99,1,1,2,1,1,99,2,51,3,51,2,999,11,997,7,2,11,1,2,66,97,34,2,999,997,11,0,0
16332,2,1,201310,1,1,9,3,5,99,99,2,8,2,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,3,2,1,99,2,99,39,97,41,2,999,9,48,8,1,99,99,99,999,99,99,99,999,999,99,0,0
02438,2,2,201310,1,1,2,3,6,99,99,1,1,2,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,3,2,2,99,99,99,999,99,99,99,999,99,999,99,99,99,99,99,999,99,99,99,999,999,99,0,0
13291,2,2,201310,1,1,8,3,6,99,99,1,1,1,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,1,79,4,23,2,999,11,40,9,1,99,99,99,999,99,99,99,999,999,99,0,0
00061,2,1,201401,2,1,1,3,6,99,99,2,6,8,2,2,2,2,2,2,2,2,1,99,99,1,99,99,1,3,2,2,99,99,99,999,99,99,99,999,99,999,99,99,99,99,99,999,99,99,99,999,999,99,0,0
19856,2,2,201310,1,1,8,3,1,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,99,2,997,3,41,2,999,11,40,5,2,6,1,2,51,97,51,2,999,997,5,0,0
